,time,num_vaccinated/immunized,num_not_vaccinated,num_dead,num_infected_at_least_once
0,0,5,495,0,15.0
1,1,5,495,0,28.0
2,2,5,495,0,34.0
3,3,5,495,0,37.0
4,4,5,495,0,48.0
5,5,5,495,0,50.0
6,6,5,495,0,53.0
7,7,5,495,0,55.0
8,8,5,495,0,55.0
9,9,19,481,1,56.0
10,10,19,481,1,56.0
11,11,32,468,1,56.0
12,12,38,462,1,57.0
13,13,41,459,1,58.0
14,14,54,446,1,58.0
15,15,57,443,1,58.0
16,16,59,441,1,58.0
17,17,59,441,1,58.0
18,18,60,440,1,58.0
19,19,60,440,1,58.0
20,20,60,440,1,58.0
21,21,61,439,1,58.0
22,22,62,438,1,58.0
23,23,62,438,1,58.0
24,24,62,438,1,58.0
25,25,62,438,1,58.0
26,26,62,438,1,58.0
27,27,62,438,1,58.0
28,28,62,438,1,58.0
29,29,62,438,1,58.0
30,30,62,438,1,58.0
31,31,62,438,1,58.0
32,32,62,438,1,58.0
33,33,62,438,1,58.0
34,34,62,438,1,58.0
35,35,62,438,1,58.0
36,36,62,438,1,58.0
37,37,62,438,1,58.0
38,38,62,438,1,58.0
39,39,62,438,1,58.0
40,40,62,438,1,58.0
41,41,62,438,1,58.0
42,42,62,438,1,58.0
43,43,62,438,1,58.0
44,44,62,438,1,58.0
45,45,62,438,1,58.0
46,46,62,438,1,58.0
47,47,62,438,1,58.0
48,48,62,438,1,58.0
49,49,62,438,1,58.0
50,50,62,438,1,58.0
51,51,62,438,1,58.0
52,52,62,438,1,58.0
53,53,62,438,1,58.0
54,54,62,438,1,58.0
55,55,62,438,1,58.0
56,56,62,438,1,58.0
57,57,62,438,1,58.0
58,58,62,438,1,58.0
59,59,62,438,1,58.0
60,60,62,438,1,58.0
61,61,62,438,1,58.0
62,62,62,438,1,58.0
63,63,62,438,1,58.0
64,64,62,438,1,58.0
65,65,62,438,1,58.0
66,66,62,438,1,58.0
67,67,62,438,1,58.0
68,68,62,438,1,58.0
69,69,62,438,1,58.0
70,70,62,438,1,58.0
71,71,62,438,1,58.0
72,72,62,438,1,58.0
73,73,62,438,1,58.0
74,74,62,438,1,58.0
75,75,62,438,1,58.0
76,76,62,438,1,58.0
77,77,62,438,1,58.0
78,78,62,438,1,58.0
79,79,62,438,1,58.0
80,80,62,438,1,58.0
81,81,62,438,1,58.0
82,82,62,438,1,58.0
83,83,62,438,1,58.0
84,84,62,438,1,58.0
85,85,62,438,1,58.0
86,86,62,438,1,58.0
87,87,62,438,1,58.0
88,88,62,438,1,58.0
89,89,62,438,1,58.0
90,90,62,438,1,58.0
91,91,62,438,1,58.0
92,92,62,438,1,58.0
93,93,62,438,1,58.0
94,94,62,438,1,58.0
95,95,62,438,1,58.0
96,96,62,438,1,58.0
97,97,62,438,1,58.0
98,98,62,438,1,58.0
99,99,62,438,1,58.0
